"","1","2","3","4","5","6","7","8","9","10"
"1968",1553.69,344.93,105.65,41.76,24.47,23.47,11.19,16.13,130.85,1.22
"1969",178.36,1120.04,266.42,61.74,19.99,14.87,18.49,8.14,9.96,119.69
"1970",243.71,136.21,785.86,162.78,42.19,10.71,9.82,15.6,6.64,78.37
"1971",139.4,194.9,95.86,554.18,99.22,29.66,6.89,7.71,11.08,53.92
"1972",214.12,98.04,140.74,93.9,331.64,63.34,26.35,3.1,4.98,50.07
"1973",279.79,217.8,96.77,107.91,86.91,177.52,45.13,18.04,2.43,21.77
"1974",385.57,242.99,181.97,79.74,80.05,64.83,93.45,24.46,10.09,12.56
"1975",434.12,371.11,175.88,116.69,51.64,52.97,42.17,46.02,12.01,10.61
"1976",204.08,424.79,303.31,117.18,69.95,29.8,33.49,26.05,25.95,12.2
"1977",70.94,170.16,374.37,214.06,77.06,43.53,18.28,21.08,15.45,24.13
"1978",61.21,43.59,125.27,295.16,160.4,61.7,30.83,14.07,13.7,25.38
"1979",143.92,42.06,31.97,96.71,206.9,110.71,44.81,21.06,10.14,24.89
"1980",75.74,111.88,30.92,25.38,69.89,134.35,68.61,29.74,14.56,22.91
"1981",129.86,53.9,89.01,18.58,19.49,50.26,92.33,41.12,19.56,24.3
"1982",247.59,90.09,32.9,64.76,10.72,14.45,36.18,69.31,25.84,30.17
"1983",493.91,214.71,51.12,18.76,41.17,6.15,9.31,27.67,60.72,40.82
"1984",94.13,564.97,213.33,28.56,11.76,23.42,3.87,5.93,18.92,69.09
"1985",147.29,68.46,577.34,177.41,16.62,7.57,14.6,2.43,3.86,57.45
"1986",102.6,113.48,55.55,554.22,133.2,10.76,5.52,8.05,1.56,28.6
"1987",101,70.6,77.93,41.54,435.61,93.97,6.65,3.79,4.37,16.93
"1988",274.87,66.25,40.51,47.62,28.13,389.44,61.82,4.47,2.45,12.01
"1989",351.39,258.83,44.35,24.9,29.27,16.15,322.38,34.82,3.07,9.04
"1990",149.31,328.47,212.84,30.86,16.02,18.63,11.51,243.89,19.55,7.22
"1991",178.99,114.14,290.13,152.26,20.42,10.14,12.54,8.45,141,15.14
"1992",151.19,142.25,72.88,212.15,100.76,13.62,6.25,7.9,5.45,91.12
"1993",40.97,115.06,110.52,47.22,140.15,63.27,9.11,3.75,4.61,45.27
"1994",140.44,22.57,76.84,72.8,27.2,97.34,39.41,5.42,2.05,21.45
"1995",155.55,106.31,13.6,50.78,44.4,14.33,53,20.59,2.76,9.46
"1996",130.66,114.98,61.32,7.75,30.44,26.71,6.91,30.12,9.3,5.55
"1997",168.24,97.6,76.74,30.89,4.06,15.15,13.09,2.83,13.73,5.71
"1998",80.18,133.12,59.3,41.73,14.24,1.79,6.25,5.46,1.1,5.61
"1999",119.44,53.38,89.44,30.18,19.63,4.78,0.74,2.04,1.82,1.86
"2000",473.59,88.51,29.01,42.67,11.21,6.85,1.17,0.2,0.58,1.05
"2001",99.16,490.33,60.03,14.28,16.61,2.54,1.57,0.23,0.05,0.4
"2002",102.98,67.84,422.63,31.59,7.45,6.12,0.74,0.38,0.06,0.09
"2003",205.52,68.64,42.77,317.89,18.6,3.69,3.21,0.24,0.09,0.03
"2004",317.29,169.38,41.96,24.42,203.29,7.27,2.05,1.13,0.08,0.03
"2005",178.3,283.28,112.72,21.18,12.3,101.19,2.87,0.84,0.2,0.04
"2006",255.11,136.99,213.94,57.57,10.3,4.56,39.23,0.99,0.23,0.05
"2007",83.98,209.43,85.52,116.88,20.42,3.43,1.49,11.29,0.21,0.06
"2008",156.42,54.09,144.27,39.57,50.24,4.66,0.94,0.37,3.25,0.06
"2009",148.46,114.09,27.56,83.42,17.22,20.55,1.17,0.22,0.08,1.31
"2010",43.66,106.29,61.44,9.01,30.14,3.96,4.91,0.23,0.03,0.35
"2011",101.97,23.13,50.2,14.04,1.67,4.3,0.55,0.49,0.03,0.05
"2012",72.65,71.86,9.85,13.71,2.04,0.17,0.4,0.07,0.03,0.01
"2013",48.67,55.66,42.86,2.62,3.25,0.26,0.02,0.03,0.01,0.01
"2014",62.14,32.27,36.12,16.94,0.78,0.52,0.02,0.01,0.01,0
"2015",84,42.83,17.49,18.38,5.02,0.23,0.09,0.01,0,0
"2016",174.76,60.67,21.69,7.53,7.13,1.66,0.06,0.01,0,0
"2017",34.57,163.96,37.15,8.19,2.78,2.07,0.6,0.01,0,0
"2018",68.24,25.15,114.48,14.56,2.63,0.59,0.47,0.15,0,0
"2019",76.31,50.53,18.63,39.33,4.71,0.5,0.13,0.06,0.06,0
"2020",75.85,54.61,29.86,6.73,12.48,1.02,0.09,0.03,0.01,0.01
