"","1","2","3","4","5","6","7","8","9","10"
"1968",0.01,0.04,0.08,0.11,0.16,0.16,0.16,0.16,0.16,0.16
"1969",0.01,0.03,0.08,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"1970",0.01,0.03,0.08,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"1971",0.01,0.03,0.08,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"1972",0.01,0.03,0.08,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"1973",0.01,0.06,0.14,0.17,0.26,0.26,0.26,0.26,0.26,0.26
"1974",0.01,0.08,0.18,0.23,0.34,0.34,0.34,0.34,0.34,0.34
"1975",0.01,0.07,0.16,0.2,0.3,0.3,0.3,0.3,0.3,0.3
"1976",0.01,0.05,0.13,0.16,0.24,0.24,0.24,0.24,0.24,0.24
"1977",0.01,0.04,0.09,0.11,0.16,0.16,0.16,0.16,0.16,0.16
"1978",0.01,0.03,0.08,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"1979",0.01,0.03,0.08,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"1980",0.01,0.03,0.08,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"1981",0.01,0.03,0.08,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"1982",0.01,0.04,0.09,0.11,0.16,0.16,0.16,0.16,0.16,0.16
"1983",0.01,0.04,0.09,0.12,0.17,0.17,0.17,0.17,0.17,0.17
"1984",0.01,0.04,0.09,0.12,0.17,0.17,0.17,0.17,0.17,0.17
"1985",0.01,0.04,0.09,0.11,0.17,0.17,0.17,0.17,0.17,0.17
"1986",0.01,0.04,0.09,0.11,0.17,0.17,0.17,0.17,0.17,0.17
"1987",0.01,0.04,0.08,0.11,0.16,0.16,0.16,0.16,0.16,0.16
"1988",0.01,0.03,0.08,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"1989",0.01,0.03,0.08,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"1990",0.01,0.04,0.09,0.12,0.18,0.18,0.18,0.18,0.18,0.18
"1991",0.01,0.05,0.11,0.14,0.21,0.21,0.21,0.21,0.21,0.21
"1992",0.01,0.05,0.13,0.16,0.24,0.24,0.24,0.24,0.24,0.24
"1993",0.01,0.06,0.15,0.19,0.28,0.28,0.28,0.28,0.28,0.28
"1994",0.02,0.08,0.19,0.24,0.35,0.35,0.35,0.35,0.35,0.35
"1995",0.02,0.09,0.22,0.27,0.4,0.4,0.4,0.4,0.4,0.4
"1996",0.02,0.12,0.29,0.37,0.54,0.54,0.54,0.54,0.54,0.54
"1997",0.03,0.15,0.37,0.46,0.68,0.68,0.68,0.68,0.68,0.68
"1998",0.04,0.18,0.44,0.55,0.81,0.81,0.81,0.81,0.81,0.81
"1999",0.04,0.22,0.53,0.67,0.98,0.98,0.98,0.98,0.98,0.98
"2000",0.05,0.25,0.61,0.76,1.12,1.12,1.12,1.12,1.12,1.12
"2001",0.04,0.22,0.52,0.66,0.97,0.97,0.97,0.97,0.97,0.97
"2002",0.03,0.17,0.41,0.52,0.76,0.76,0.76,0.76,0.76,0.76
"2003",0.03,0.16,0.39,0.49,0.73,0.73,0.73,0.73,0.73,0.73
"2004",0.03,0.18,0.43,0.54,0.8,0.8,0.8,0.8,0.8,0.8
"2005",0.04,0.21,0.5,0.62,0.92,0.92,0.92,0.92,0.92,0.92
"2006",0.05,0.24,0.56,0.71,1.04,1.04,1.04,1.04,1.04,1.04
"2007",0.05,0.25,0.59,0.74,1.09,1.09,1.09,1.09,1.09,1.09
"2008",0.04,0.22,0.53,0.67,0.99,0.99,0.99,0.99,0.99,0.99
"2009",0.06,0.3,0.73,0.91,1.35,1.35,1.35,1.35,1.35,1.35
"2010",0.08,0.43,1.02,1.28,1.89,1.89,1.89,1.89,1.89,1.89
"2011",0.09,0.47,1.12,1.41,2.08,2.08,2.08,2.08,2.08,2.08
"2012",0.08,0.41,0.97,1.22,1.8,1.8,1.8,1.8,1.8,1.8
"2013",0.06,0.31,0.75,0.95,1.4,1.4,1.4,1.4,1.4,1.4
"2014",0.05,0.25,0.6,0.76,1.12,1.12,1.12,1.12,1.12,1.12
"2015",0.05,0.24,0.56,0.71,1.05,1.05,1.05,1.05,1.05,1.05
"2016",0.04,0.23,0.56,0.7,1.03,1.03,1.03,1.03,1.03,1.03
"2017",0.05,0.26,0.61,0.77,1.14,1.14,1.14,1.14,1.14,1.14
"2018",0.05,0.28,0.68,0.86,1.26,1.26,1.26,1.26,1.26,1.26
"2019",0.06,0.3,0.72,0.9,1.33,1.33,1.33,1.33,1.33,1.33
"2020",0.06,0.3,0.72,0.91,1.34,1.34,1.34,1.34,1.34,1.34
